crashedAt,totalBankUsd,usersCount,itemsCount
1.31,336.32,113,132
1.07,240.40,111,139
1.21,379.38,135,156
5.74,381.11,127,148
1.27,285.59,101,125
2.24,227.38,94,113
2.76,196.26,99,125
1.09,200.13,85,104
3.22,292.45,122,147
1.33,206.65,94,116
2.83,247.89,102,126
2.53,223.99,93,112
1.05,210.43,96,122
99.49,301.26,113,148
1.34,204.16,93,106
1.04,245.15,90,119
1.32,241.29,103,129
1.90,320.74,112,139
1.65,236.09,113,141
2.07,277.22,104,131
1.46,215.06,96,116
1.03,279.37,102,135
1.02,260.96,118,149
2.13,314.78,133,170
1.03,327.09,110,130
3.42,391.65,117,146
1.09,282.86,106,135
2.23,342.37,108,134
1.41,349.56,117,142
2.85,243.51,97,120
1.43,265.95,100,122
1.33,210.84,89,109
1.07,280.56,96,112
8.58,299.33,116,131
5.84,215.31,84,98
1.01,229.89,97,127
1.27,257.85,105,119
2.01,286.23,99,127
2.26,244.83,83,97
1.44,217.38,84,107
83.45,223.84,92,114
1.06,227.00,82,103
1.24,296.59,91,110
1.31,262.36,102,122
2.52,297.02,97,112
1.05,187.73,89,106
3.37,342.70,109,134
1.62,218.20,94,115
7.45,293.76,91,111
1.14,181.57,83,104
2.64,287.01,113,142
1.27,220.94,93,108
4.72,305.27,104,126
1.04,186.98,88,115
1.67,369.30,119,148
2.97,219.67,101,120
1.26,287.97,105,125
1.21,238.93,99,115
4.76,329.34,106,125
1.07,215.16,85,107
2.72,362.48,119,145
2.31,261.87,98,116
1.51,401.10,115,130
4.98,216.45,84,108
1.07,317.43,91,109
1.86,310.29,104,123
1.18,410.97,112,146
7.41,340.70,117,133
1.22,385.04,104,127
1.43,349.56,115,150
3.02,419.28,102,122
2.23,369.16,106,138
1.05,425.65,95,117
2.47,473.41,106,128
2.48,547.12,116,142
1.39,252.47,100,123
1.03,395.72,100,119
1.00,337.55,111,135
1.42,671.65,149,178
1.36,282.00,106,126
1.02,450.53,127,157
5.23,299.91,115,160
1.32,377.03,105,147
7.40,240.70,100,122
1.01,314.60,99,122
2.91,328.34,119,147
1.28,323.61,105,124
1.57,225.08,91,115
1.02,329.69,101,127
2.51,339.45,115,143
3.35,304.08,100,120
4.47,198.95,84,110
4.50,253.05,84,106
1.03,239.38,86,109
1.03,371.24,109,136
7.77,341.00,127,166
1.29,336.40,90,109
1.08,323.62,109,134
3.03,358.42,121,149
1.82,227.62,91,106
2.29,343.37,107,127
1.10,238.66,81,104
8.96,388.91,120,145
2.49,333.51,101,117
4.03,280.83,81,99
1.51,295.86,88,108
1.43,298.53,84,100
1.01,263.02,91,104
2.74,332.11,118,143
2.12,215.78,98,119
1.09,356.55,111,134
32.14,371.77,117,133
1.39,311.30,98,109
4.76,263.12,87,113
1.00,402.54,94,110
5.87,376.47,116,142
1.25,320.45,106,122
2.32,279.37,90,109
2.01,304.36,107,120
1.27,298.41,91,116
1.07,355.56,109,140
1.22,458.48,119,153
2.42,459.21,121,146
1.09,299.61,90,116
7.23,464.48,140,171
1.34,382.41,95,121
1.41,334.08,107,131
4.58,321.45,99,119
1.08,296.08,102,127
1.49,357.98,114,141
1.25,227.03,116,129
66.04,363.74,118,146
1.05,257.59,84,98
2.97,381.49,109,137
4.33,234.53,102,129
1.26,300.85,99,117
5.39,241.31,89,108
1.08,266.38,90,116
8.78,274.40,105,123
1.71,262.71,91,115
1.14,244.43,93,112
1.67,404.78,130,161
1.17,331.33,115,123
2.11,462.29,149,181
2.75,258.46,110,123
1.44,278.85,86,106
3.23,356.18,103,129
1.01,256.23,78,98
3.29,356.71,130,159
1.60,255.98,84,101
2.39,343.92,105,125
1.53,363.88,97,116
1.34,213.57,84,100
1.09,285.89,87,112
3.42,312.42,118,143
1.09,263.29,87,110
1.32,443.22,138,167
7.26,351.26,109,131
1.02,288.74,87,106
1.41,378.53,120,144
1.02,302.61,100,125
2.71,464.98,124,147
1.33,251.01,98,127
1.64,322.41,91,120
1.22,204.81,89,118
1.81,344.08,97,118
1.07,288.72,98,110
2.19,364.33,126,152
4.03,269.79,97,112
1.45,314.04,90,107
1.01,210.41,89,108
1.37,366.82,108,131
2.07,321.76,114,131
1.91,234.63,86,102
1.85,251.03,101,119
1.00,257.18,83,108
3.00,296.37,117,142
6.77,317.59,97,115
1.08,197.29,87,108
1.20,403.52,107,133
1.71,261.30,106,125
77.57,274.20,99,123
1.01,229.82,81,100
2.19,417.80,98,126
2.75,217.89,99,116
1.95,357.23,91,113
2.25,243.22,96,112
1.06,299.72,89,111
1.62,287.22,105,128
1.03,339.91,97,123
3.35,304.48,134,164
1.82,392.99,102,129
1.08,185.58,90,108
2.86,455.74,124,157
1.95,187.39,89,107
1.40,267.30,92,112
7.03,182.61,90,114
1.05,280.86,79,95
3.37,353.66,127,153
1.45,281.77,99,127
1.75,153.10,83,94
1.83,330.80,101,124
2.72,211.15,97,122
1.08,264.89,70,92
1.36,323.48,126,146
1.08,320.11,129,160
7.22,373.36,118,143
1.04,258.27,104,142
1.23,315.94,108,138
1.76,260.17,97,130
1.23,282.91,120,143
8.71,207.56,85,106
2.91,172.71,85,104
1.08,256.06,75,99
1.26,269.73,95,107
1.77,303.37,109,142
1.06,199.24,88,96
3.84,318.06,115,151
1.41,259.01,95,122
1.20,304.94,90,112
37.68,257.77,87,103
2.19,282.18,74,103
1.05,222.86,89,109
2.94,234.93,74,82
1.28,257.62,88,110
1.07,228.86,93,119
1.05,340.29,114,132
1.28,454.51,126,172
4.37,338.55,110,128
5.46,368.87,95,114
8.08,214.16,85,108
1.62,419.88,84,104
1.01,355.53,91,110
2.19,353.52,111,131
1.01,260.64,91,109
1.58,436.81,129,166
6.93,368.52,91,111
1.31,270.85,81,107
1.45,322.36,97,114
1.02,304.90,86,104
2.61,407.55,122,152
2.42,383.17,98,127
1.45,268.42,92,112
1.06,368.10,85,119
1.25,345.70,110,145
2.64,380.01,107,138
4.49,382.95,102,118
1.40,251.14,79,107
1.02,277.37,81,99
1.06,310.98,105,132
2.06,525.55,136,165
1.86,327.97,106,136
4.20,240.68,100,124
2.96,309.75,89,104
1.36,186.35,92,124
1.56,286.13,84,120
1.02,256.54,103,122
2.63,395.63,115,130
1.31,285.82,104,129
1.59,331.15,89,109
7.01,302.72,105,117
1.37,221.87,85,111
9.95,271.63,96,113
1.01,299.08,79,104
1.85,251.57,101,127
1.93,430.44,105,128
1.79,274.55,89,114
2.73,387.50,99,123
1.05,275.90,85,112
6.22,407.96,113,131
1.02,304.81,94,107
1.33,525.87,128,158
1.38,264.53,108,131
1.06,375.72,110,132
1.57,455.59,121,141
2.26,379.73,107,128
1.87,243.46,99,127
2.58,364.42,93,118
3.22,240.55,95,113
1.06,262.63,88,107
2.97,234.73,86,104
7.90,378.34,106,142
1.89,196.26,82,100
1.29,314.67,92,114
1.43,173.80,83,105
2.33,331.31,94,124
1.05,186.57,84,109
3.09,384.79,101,118
1.40,230.88,90,111
1.03,353.94,95,114
9.77,341.54,111,122
2.77,408.95,108,139
1.03,208.67,82,107
1.00,433.37,120,137
1.98,453.44,137,185
2.30,402.83,116,134
1.43,252.59,94,123
4.20,291.32,96,123
1.04,172.91,81,89
2.44,358.58,107,125
7.87,312.68,102,120
2.57,311.78,77,104
1.26,117.10,64,76
3.97,90.31,51,62
1.57,203.37,55,70
2.28,132.27,74,97
1.03,125.76,52,65
1.30,136.48,80,99
1.08,246.94,82,102
1.22,314.88,101,124
1.53,361.02,103,115
4.29,206.09,89,103
1.08,176.55,67,73
17.62,244.32,103,125
1.07,173.47,67,78
2.38,282.69,105,119
1.58,237.41,80,100
4.43,297.29,72,86
2.10,153.27,69,79
1.26,74.96,65,80
4.19,149.51,73,91
1.06,123.79,68,78
2.76,196.21,86,104
1.89,160.00,83,102
1.27,127.43,83,95
1.06,151.08,90,109
1.28,330.95,104,129
1.05,275.27,91,107
8.68,266.67,116,149
2.93,87.69,70,88
1.47,143.27,71,83
21.48,87.66,58,92
1.79,74.91,55,73
1.00,87.84,61,83
1.53,145.29,81,101
1.79,156.56,89,118
2.43,130.11,68,85
1.99,78.27,58,77
1.03,144.67,79,94
2.06,234.72,77,91
7.48,209.15,78,96
1.02,65.92,63,77
20.91,206.58,77,91
1.89,133.02,76,104
6.30,137.36,57,73
3.63,92.74,60,69
1.07,108.60,63,77
1.01,183.09,74,88
2.97,307.37,95,132
1.05,189.74,85,107
2.01,294.43,95,118
2.02,224.66,88,108
1.22,179.89,68,79
8.57,135.49,71,92
1.03,167.35,69,88
1.27,181.12,86,103
1.34,226.18,85,98
1.36,145.02,98,120
1.11,179.23,78,99
9.72,194.48,106,131
2.39,115.31,74,93
28.86,71.71,69,87
1.24,128.23,64,78
2.20,69.99,62,73
1.27,152.81,74,94
1.23,109.42,65,85
7.95,139.83,66,75
11.27,111.45,66,89
1.02,90.77,57,72
1.38,163.89,73,92
1.06,199.88,97,114
1.37,234.38,98,133
2.12,185.35,89,112
5.06,110.34,86,102
1.24,181.27,69,80
2.09,85.92,67,85
1.05,111.84,67,77
1.32,159.10,85,100
4.79,166.64,80,92
2.17,112.41,62,75
1.48,188.68,77,88
1.17,101.24,69,88
4.31,222.79,76,88
5.86,148.93,71,90
1.23,175.37,73,92
2.03,161.38,68,87
33.22,165.26,67,85
6.15,74.97,65,88
1.06,146.43,57,73
3.71,226.17,72,95
1.03,170.16,74,93
1.06,181.09,95,128
1.28,313.25,98,124
2.36,250.02,100,126
5.32,192.45,79,95
1.00,133.21,82,98
2.99,195.77,82,104
1.65,209.86,87,110
1.27,166.85,70,92
5.74,129.18,76,95
22.18,144.80,69,87
1.06,57.31,47,58
1.08,216.78,82,116
1.31,271.57,115,149
1.07,239.33,81,107
1.22,250.86,106,136
5.04,253.27,97,121
2.55,166.38,82,97
2.66,161.72,70,89
1.57,84.61,66,79
1.05,146.62,63,77
1.60,147.22,85,99
1.03,164.04,79,93
1.59,223.95,103,124
7.20,191.07,90,106
21.09,152.49,62,83
2.46,146.69,64,82
1.56,114.92,56,68
2.46,156.21,51,61
8.80,149.60,66,78
1.65,128.29,49,56
1.00,107.70,61,75
1.49,168.92,74,91
2.70,150.48,83,112
1.41,116.55,56,66
1.08,159.87,69,86
65.42,220.04,90,115
1.14,127.52,70,92
1.47,230.65,85,101
1.06,161.52,83,99
2.44,278.23,103,124
2.58,223.09,88,117
1.26,112.24,69,81
2.37,166.14,82,110
1.53,151.25,61,77
2.18,179.61,72,92
1.08,108.10,51,65
1.02,200.19,88,109
5.26,304.96,110,135
1.31,186.51,79,99
3.03,176.79,87,101
1.06,114.06,66,79
14.58,241.13,91,106
1.54,147.12,76,99
1.58,191.54,61,76
1.31,94.66,68,83
1.27,173.74,62,78
5.01,198.68,85,119
27.18,133.43,56,70
1.49,145.86,62,77
2.10,133.06,53,71
1.00,107.29,62,80
1.39,209.87,79,102
2.07,192.46,78,98
1.51,157.18,69,85
2.77,108.42,59,87
1.83,154.52,68,85
1.02,47.71,33,39
1.80,135.61,60,75
2.51,84.91,55,64
1.48,100.48,42,48
5.28,94.57,48,56
1.77,74.32,37,46
1.14,37.95,41,52
3.29,131.55,63,74
1.35,82.95,42,50
2.77,102.08,63,70
2.04,99.08,53,58
32.90,94.45,35,42
1.57,58.15,34,38
2.64,71.00,49,69
1.22,65.69,58,72
1.73,80.75,59,69
1.04,79.54,67,74
5.19,121.72,77,89
1.06,84.02,68,72
1.51,162.92,111,132
3.10,119.19,82,99
1.36,122.59,77,96
1.00,89.23,76,83
1.28,154.08,86,110
1.55,176.69,78,93
2.80,138.75,80,86
1.03,68.41,65,79
1.32,133.23,91,114
2.38,75.93,71,78
8.92,87.21,64,75
1.40,52.93,56,60
3.08,81.51,52,63
1.28,49.49,54,58
4.85,67.68,52,60
1.03,45.20,48,62
2.39,130.00,80,101
1.32,50.02,65,78
4.40,100.89,72,85
1.02,41.93,51,70
18.77,144.10,77,89
1.08,44.90,49,60
1.10,165.29,72,83
1.60,244.61,103,122
7.62,156.82,70,82
1.28,72.20,57,64
2.40,132.55,70,80
3.96,34.56,46,54
1.01,61.59,49,60
77.19,105.67,57,62
3.38,104.37,60,79
1.03,45.21,46,55
5.01,142.92,73,82
4.59,58.54,52,63
1.91,69.46,40,54
1.18,49.05,52,65
2.16,155.53,79,84
9.98,71.66,56,74
1.04,71.00,52,59
2.16,132.33,76,89
7.21,110.40,73,96
1.04,29.83,46,51
10.80,215.42,87,101
2.31,84.03,53,58
1.28,85.62,42,53
1.30,83.89,56,61
18.18,95.50,53,57
1.38,99.14,55,67
1.13,73.09,50,65
2.64,128.09,82,89
1.23,88.82,63,74
1.47,110.42,74,84
3.34,118.77,62,78
1.12,47.20,46,54
4.87,116.31,77,91
3.79,89.75,63,77
1.38,105.64,51,58
97.53,43.22,52,56
1.08,89.15,46,62
1.75,86.14,65,75
1.02,84.82,66,79
1.40,170.81,88,114
1.28,151.80,83,111
1.24,111.15,82,87
2.31,131.89,72,90
40.22,44.70,49,63
4.06,90.05,47,54
1.00,41.94,36,44
1.90,142.65,66,78
1.99,76.13,62,71
2.39,94.69,55,62
2.09,114.80,60,73
2.62,95.87,44,51
10.40,40.06,40,49
1.48,45.20,34,46
5.10,49.83,39,42
1.09,80.05,36,42
1.93,110.40,65,69
1.71,176.59,55,61
6.36,81.48,59,67
1.05,78.21,48,58
1.84,119.65,76,84
2.93,92.86,66,85
9.39,76.69,62,74
4.63,100.99,50,54
1.28,70.41,51,60
3.02,163.72,56,68
470.17,52.86,43,51
1.02,68.67,45,56
2.85,110.13,70,81
1.61,84.73,55,66
3.80,51.78,59,61
7.80,104.12,75,87
1.38,79.97,71,79
2.38,137.48,76,90
9.07,52.98,60,66
1.38,99.92,46,51
1.02,89.93,56,67
2.08,190.56,87,97
5.45,88.12,73,81
3.36,102.37,69,75
1.57,49.14,51,61
3.17,138.99,63,71
2.08,57.53,62,77
1.21,103.41,58,68
21.49,87.07,70,79
1.04,140.26,53,63
5.65,126.12,80,99
1.65,122.61,63,76
5.22,96.81,76,82
2.01,115.60,56,63
1.05,63.82,51,63
62.29,305.93,86,93
3.12,92.89,58,74
1.76,78.02,59,65
35.73,68.47,56,58
2.31,123.47,64,80
3.31,44.91,39,45
1.23,107.18,55,67
7.28,72.09,54,64
1.05,111.74,44,50
2.55,139.38,78,95
1.00,203.79,80,87
3.97,247.51,127,150
1.55,206.12,98,125
87.81,207.20,125,155
1.31,239.98,92,122
4.72,172.88,95,122
9.96,199.26,95,116
2.45,127.26,85,116
3.23,135.49,81,102
1.07,140.93,94,119
4.88,283.52,105,127
2.09,184.48,118,139
9.54,162.79,89,112
1.74,142.53,88,105
3.26,265.23,122,141
20.01,97.80,102,118
1.02,164.79,102,127
3.16,205.70,130,161
1.22,287.07,130,152
9.89,224.21,139,164
1.38,213.35,104,135
1.02,209.70,127,146
3.54,360.84,129,145
24.86,254.06,119,146
1.35,208.12,96,110
1.26,213.79,125,141
5.13,328.35,113,135
2.32,174.36,101,121
3.13,173.04,100,116
1.25,119.64,86,112
9.24,192.67,92,124
1.00,185.32,109,140
1.34,394.71,115,133
2.14,275.54,134,171
7.05,243.18,122,147
4.37,198.71,102,119
1.24,154.68,106,133
4.84,191.77,108,141
2.15,214.65,97,118
1.05,149.56,84,99
35.84,276.77,129,157
1.25,177.48,122,149
4.06,272.89,122,148
1.56,180.04,125,159
2.01,275.00,122,142
1.53,234.02,129,155
7.96,284.80,129,153
2.34,132.42,105,130
1.32,176.43,102,123
1.09,212.74,134,160
13.63,444.36,149,180
2.69,209.05,129,156
1.38,178.59,124,146
17.35,227.84,144,165
1.27,213.12,134,156
1.20,267.20,141,168
1.21,370.67,167,201
3.52,319.72,166,203
5.37,248.15,139,165
1.23,116.13,124,145
2.23,215.85,115,126
1.90,143.91,119,140
8.05,296.74,144,165
3.89,114.14,109,122
1.04,146.28,105,133
2.37,362.92,155,191
1.38,267.95,135,161
89.25,224.16,153,175
9.37,233.17,127,149
1.09,136.48,105,128
1.25,380.39,156,182
1.37,337.51,168,205
3.35,407.61,160,192
2.68,219.66,133,151
1.71,208.74,135,157
6.77,276.78,135,163
2.81,188.83,110,130
29.40,165.54,124,151
1.01,192.35,97,120
3.82,260.63,132,168
1.03,277.19,149,181
1.22,284.63,153,184
4.82,451.14,159,201
2.26,246.07,148,172
2.32,257.35,133,160
4.99,202.76,132,169
1.90,235.15,104,136
1.25,143.91,111,131
9.64,230.66,124,164
5.19,179.32,101,118
3.62,146.79,98,127
1.07,178.23,102,134
2.27,228.66,131,154
1.62,182.22,142,171
1.03,286.86,137,167
4.88,329.73,172,219
6.65,240.40,127,163
1.36,183.58,128,151
24.85,226.14,117,146
1.21,164.07,112,150
5.22,295.39,117,146
2.02,164.37,121,147
2.97,200.57,103,118
1.50,150.80,112,133
4.84,212.20,99,114
5.32,195.75,107,137
1.19,219.73,107,126
1.72,214.33,116,144
1.06,317.51,124,148
1.70,380.56,164,215
1.45,310.36,138,167
1.23,317.55,155,211
5.18,363.87,154,179
2.26,223.58,124,160
1.19,231.01,124,154
2.22,304.40,137,160
1.72,253.26,131,161
1.01,211.41,129,150
11.13,426.48,152,177
2.32,197.74,122,146
2.71,161.97,88,109
394.73,148.05,108,133
1.06,214.11,93,124
2.90,206.33,123,150
1.44,223.66,105,125
2.50,196.35,126,157
1.60,234.53,114,149
2.44,172.05,115,135
3.12,178.34,104,138
1.04,169.30,100,122
4.04,326.68,137,160
62.68,249.14,113,133
1.08,220.22,99,120
1.68,341.47,156,200
1.09,317.92,143,171
1.33,517.27,175,216
2.15,424.46,169,208
5.37,256.31,130,155
1.01,257.68,95,113
4.57,444.24,131,164
3.08,311.36,111,140
1.27,195.36,98,115
2.49,234.88,95,111
22.73,212.65,92,109
1.03,193.60,67,80
1.01,235.02,108,127
4.36,506.34,151,194
4.25,184.93,109,137
1.11,253.75,98,118
1.01,275.50,116,145
32.33,520.06,149,185
2.16,231.11,123,144
2.81,251.56,92,110
431.66,177.65,94,104
7.19,146.83,72,90
1.11,147.91,66,80
1.86,243.21,92,114
1.74,207.46,98,126
1.05,284.05,94,111
2.22,339.77,130,152
5.50,282.50,98,112
1.25,196.32,86,99
16.89,254.36,91,107
4.02,159.76,74,91
1.08,165.82,74,94
1.90,251.22,100,122
2.59,269.69,103,125
6.56,163.86,100,128
1.35,223.45,77,93
1.01,214.41,98,113
1.33,386.90,112,128
1.29,390.16,125,152
1.31,344.61,119,153
1.34,218.71,107,123
1.06,289.15,105,130
33.81,409.78,120,161
8.00,307.94,100,121
1.02,218.22,88,103
1.09,400.28,105,123
1.05,534.33,134,174
1.08,552.17,126,176
1.20,529.03,129,191
5.83,346.87,101,125
2.69,246.73,120,145
4.68,336.56,106,128
1.60,171.72,78,87
8.48,239.13,89,113
1.02,163.17,70,82
2.15,266.06,94,116
6.83,227.31,99,115
33.66,263.76,78,95
1.06,82.07,62,72
1.34,273.70,94,113
3.74,192.32,97,111
1.21,222.28,93,110
8.29,168.70,77,87
2.13,168.33,75,89
1.22,143.32,67,77
3.14,245.84,90,104
1.08,150.53,75,86
1.69,253.46,86,107
2.02,241.45,103,120
7.51,198.52,77,94
67.49,139.35,76,99
1.04,163.61,69,88
1.67,223.91,81,108
3.98,277.98,97,110
8.98,192.27,99,115
1.45,204.84,71,86
1.09,153.99,77,86
1.48,283.43,104,124
1.03,250.05,114,133
4.85,294.81,115,138
1.40,215.82,92,109
8.39,243.39,93,112
2.61,248.79,86,101
1.22,239.14,75,92
18.39,129.13,73,89
4.20,201.96,83,107
1.54,69.24,65,89
1.00,223.09,87,98
4.95,273.91,99,115
2.37,192.61,78,99
1.09,156.40,67,77
1.31,310.36,115,137
1.35,238.15,104,126
1.22,190.12,95,113
2.12,275.97,107,132
1.05,184.45,85,103
5.78,244.49,91,110
3.72,221.90,105,128
1.98,126.77,75,86
1.37,182.54,81,94
1.05,109.33,71,87
54.44,325.43,118,141
4.67,200.82,84,98
3.82,152.57,61,75
2.66,111.46,69,86
1.96,168.92,54,65
1.02,144.42,68,80
4.99,197.93,82,98
1.17,148.76,81,94
2.88,285.46,109,137
5.07,176.97,84,89
4.03,215.64,89,106
1.29,123.67,71,83
1.08,161.98,77,90
2.28,224.96,108,126
1.45,165.10,114,126
3.11,145.11,106,118
1.09,268.42,109,126
6.81,225.73,121,153
1.26,201.48,99,124
246.57,152.75,90,104
1.05,166.89,78,99
3.19,232.84,96,113
1.34,163.91,81,107
3.20,142.73,80,95
1.07,206.12,77,92
2.52,197.99,109,131
9.33,238.58,92,110
1.07,148.28,83,104
27.81,309.68,115,127
1.88,169.69,96,111
1.39,243.96,97,120
1.13,202.78,95,108
1.95,277.17,113,141
3.65,219.05,97,106
1.47,228.99,90,105
58.52,123.40,88,104
1.12,196.57,76,89
2.47,368.74,109,133
1.35,202.08,83,91
1.10,200.48,95,111
2.20,304.85,109,132
1.52,246.18,96,120
1.44,211.45,97,117
3.90,152.52,81,93
2.90,211.54,95,115
2.15,123.91,71,75
1.37,117.44,73,84
1.11,138.88,78,96
1.01,273.88,121,136
1.59,343.76,123,143
2.10,241.11,121,134
2.05,212.39,108,124
7.13,200.01,96,109
4.23,132.88,81,98
1.21,113.18,66,76
1.36,167.75,69,78
8.77,156.88,81,97
1.64,118.02,56,67
1.18,138.82,74,83
2.00,182.02,94,117
5.56,142.81,76,96
3.08,178.45,76,92
1.05,112.63,62,68
1.29,206.77,94,118
1.26,184.94,102,126
2.02,154.41,98,117
8.81,206.03,85,94
4.73,195.53,87,108
2.09,143.12,60,68
1.35,132.28,72,82
1.64,178.16,80,99
3.30,164.70,86,103
47.41,109.67,75,84
5.60,164.76,81,95
1.00,129.00,67,85
1.33,210.07,88,100
1.05,187.17,105,116
1.43,249.47,114,135
1.07,200.95,103,130
1.25,336.32,116,144
2.32,323.79,111,132
61.34,199.47,110,133
1.54,149.19,71,84
2.72,110.26,82,94
1.04,145.65,84,106
3.09,170.52,84,93
9.13,172.68,97,122
4.93,117.12,67,77
1.89,155.01,84,101
1.00,180.38,80,90
1.38,190.01,102,109
1.38,155.68,94,113
2.01,259.17,106,123
1.98,172.50,90,103
5.21,200.74,101,120
4.54,145.90,91,118
1.88,123.77,65,72
1.07,161.87,76,91
4.66,187.41,103,124
1.54,196.82,97,109
3.59,230.06,102,118
503.32,132.58,79,90
2.96,141.25,64,75
3.32,138.75,64,76
1.58,109.72,63,72
1.28,107.96,62,75
5.79,233.33,74,80
1.31,133.25,77,94
1.04,116.90,67,84
1.21,247.19,101,118
45.07,284.56,96,116
2.96,189.86,87,103
1.04,117.43,69,89
4.19,186.76,95,113
7.21,170.44,86,99
1.81,102.25,70,78
1.14,140.08,78,99
